Actual,Predicted
6795,6484.0
4357,4443.0
7293,6768.0
3900,3951.0
4387,4521.0
6583,6375.0
5556,5492.0
7548,7747.0
7575,8935.0
4696,5105.0
3049,3173.0
6569,6471.0
6770,6471.0
4166,4202.0
6862,6958.0
7005,6768.0
6503,6768.0
7969,8038.0
7007,6854.0
3998,4230.0
6826,6562.0
7616,7651.0
6707,6562.0
6235,6271.0
4248,4339.0
6521,6271.0
5538,5601.0
6397,6184.0
4802,5013.0
6109,5979.0
4789,4909.0
8090,7942.0
5005,5601.0
6626,6484.0
8605,8817.0
5154,5601.0
7071,6963.0
6598,6180.0
6696,6471.0
4870,5105.0
5424,5396.0
6117,5979.0
6493,6184.0
5898,5901.0
4234,4922.0
6480,6471.0
4125,4230.0
7298,7054.0
5033,5105.0
8212,8330.0
4393,4443.0
6182,6271.0
8489,8621.0
6226,6089.0
4999,5209.0
7016,7164.0
6255,6375.0
4947,5008.0
8173,8330.0
6392,6271.0
3471,3687.0
4560,4339.0
6643,6672.0
6030,6580.0
5333,5225.0
6443,6375.0
7183,7164.0
5948,5492.0
5449,6019.0
4042,4152.0
5004,5105.0
7884,7833.0
4163,4326.0
8408,8416.0
6754,6854.0
4924,4617.0
7639,7455.0
6580,6854.0
3511,3756.0
8166,7942.0
6449,6075.0
5628,5201.0
4808,4813.0
6614,6471.0
5674,5888.0
8711,8708.0
8134,8125.0
5504,5318.0
3943,3910.0
1945,2202.0
6180,6476.0
6735,6872.0
4936,2521.0
5942,5688.0
5807,5901.0
4705,4909.0
4945,4909.0
5388,4909.0
6292,5893.0
5322,5305.0
3182,3743.0
6771,6471.0
7690,7747.0
5336,5201.0
4057,4230.0
6236,6184.0
7267,7542.0
5830,5596.0
5009,4922.0
6325,6089.0
7441,7747.0
3723,3756.0
3866,3951.0
4254,3978.0
8007,8125.0
7555,7346.0
6979,7054.0
5548,5596.0
7219,7346.0
7425,7455.0
7858,8038.0
7172,7164.0
4926,5105.0
4745,4735.0
7510,7747.0
7428,7455.0
7162,7164.0
8116,8125.0
4489,4339.0
6188,6180.0
7713,7747.0
3983,4047.0
4162,4230.0
5347,5501.0
6318,6476.0
6368,6375.0
6315,5797.0
5429,5601.0
4356,5018.0
8538,8621.0
5221,5601.0
6327,6089.0
5192,5027.0
6731,6562.0
7243,7068.0
7669,7747.0
7570,7747.0
5086,5706.0
4575,4631.0
6691,6958.0
4813,4735.0
8284,8525.0
5700,5893.0
6920,6471.0
7560,7455.0
7835,7747.0
